country,year,oecd_ai,oxford_ai,AI_INDEX,AI_PCA,AI_BAYES,sigma,epsilon,FINAL_AI,RANK,HASH
United States of America,2026,1.0,1.0,1.0,1.0,0.693186134461844,0.05450681683960417,0.06540818020752501,0.6277779542543189,1,7810e75c852c105207241eaed95daa10ffd0e53799f4de1db5925833738b686b
France,2026,0.9557371682459136,0.9390624663551604,0.947399817300537,0.9484178834736412,0.6673950761986644,0.04797976707371986,0.057575720488463836,0.6098193557102006,2,098adb5540ee93dafaa300f57e72b3f5b1be0f03d865afc2d55f6140b6eb5b29
"United Kingdom of Great
Britain and Northern Ireland",2026,0.9355828289047364,0.9125126504597232,0.9240477396822298,0.9255113649136899,0.6559418169186888,0.04908968482527684,0.05890762179033221,0.5970341951283566,3,97d0ec469ac93d2e7ece3acdb37a9b437f24fbbf24b65c4fb8ee8c7c2dee8a25
Republic of Korea,2026,0.9299811424665304,0.9067203548588532,0.9183507486626918,0.9199143494467986,0.6531433091852432,0.0468271386271461,0.05619256635257532,0.5969507428326679,4,6443825ccf9d58b86393cbcfb5e01ae2538a85c6571e842c57e83dfec32105f2
Netherlands,2026,0.9214648776987578,0.898968583794492,0.9102167307466248,0.9119164715737678,0.6491443702487278,0.046774757538761425,0.05612970904651371,0.5930146612022141,5,3a3caf7374824b54e3e904da632a98d1066f8790497f513fd75f16b56ed89c8b
Singapore,2026,0.9042673194469224,0.8810318468594561,0.8926495831531893,0.8946585713552315,0.6405154201394596,0.042182035506829606,0.05061844260819553,0.5898969775312641,6,45009a5d2071ba9eb14ee55851e0c0e8036b302fd1faa947a96438b81429c4aa
Australia,2026,0.9172218414278416,0.8951142309597124,0.906168036193777,0.9079354885533241,0.6471538787385059,0.04848609991994394,0.058183319903932725,0.5889705588345732,7,7adf57adb0189a89f97179139347ae1b595de556eae329126d3858027bad4f56
Denmark,2026,0.9245908016099024,0.9012295170215971,0.9129101593157498,0.9145687168049101,0.650470492864299,0.05457771811575614,0.06549326173890736,0.5849772311253917,8,b4618d51bcc12e4a110ad1bd61051764261a930ba1aad391bf1cb81c6abae4ae
Spain,2026,0.8962945147460656,0.874055252901531,0.8851748838237983,0.8873071064607794,0.6368396876922335,0.043572730583432986,0.05228727670011958,0.584552410992114,9,b292ad1d5e59933dc0427b5d53b2b3322ae70f8ff93734d100cdd959c700aa56
Norway,2026,0.901367837230326,0.879093904093366,0.890230870661846,0.8922756648651635,0.6393239668944257,0.04945602789805729,0.059347233477668744,0.5799767334167569,10,c054266c2c9032e0a40ca77e038a542957da4857acd0e9bcaed7f026ed7f8bd9
Germany,2026,0.9067441105003616,0.8823668740983184,0.89455549229934,0.8965387121952931,0.6414554905594905,0.05506768267271244,0.06608121920725493,0.5753742713522355,11,7db6406b896bab7ee209d7300f1aec9f1523e46fdd9cc355dc18c4e4efb5a0a6
China,2026,0.8878698551824906,0.8642363428866735,0.8760530990345821,0.8783523346884916,0.6323623018060898,0.04759730422713159,0.057116765072557904,0.5752455367335318,12,6703fb2497471483b8f6d41a2c2ed699a51e371a1ce555f4ff617d16e0a7324c
Canada,2026,0.8770298175437337,0.8509722012876554,0.8640010094156945,0.8665246163447416,0.6264484426342147,0.04672970701504175,0.05607564841805009,0.5703727942161646,13,567196c07d5f368f982eb0f8ab63e8fa8a9d034eea6f09bd95ed82c8bff80e0d
Estonia,2026,0.8655859353861813,0.836846751792597,0.8512163435893891,0.8539786613581261,0.6201754651409069,0.04583832818502039,0.05500599382202447,0.5651694713188825,14,04356e076f5d972ea345cc51c0ee3ac06de2808d9fd9cb077c00d82cf8984024
Poland,2026,0.8522842028069547,0.8222691156521178,0.8372766592295362,0.8402887580903857,0.6133305135070368,0.04115546150823628,0.04938655380988353,0.5639439596971533,15,8357bc4efe5ee66f0ba419ac968b9df0dd97675b01080085c650b228b3212eeb
Saudi Arabia,2026,0.8615089563579337,0.8332292586292285,0.8473691074935811,0.8501951934144703,0.618283731169079,0.045283899932091115,0.054340679918509334,0.5639430512505696,16,25bd485935361bd883fa4248cf50dfad8db43737114e6a6c2ee4774f7a7ad5d8
Austria,2026,0.8297858518499326,0.8011670721991345,0.8154764620245336,0.8188575901220774,0.6026149295228826,0.0392588693353179,0.04711064320238148,0.5555042863205012,17,3d9c99f685350ff6491fc283d2130c825ac730c9c63d72570834a0f4795da59d
Sweden,2026,0.8211488181784009,0.7932430395555652,0.807195928866983,0.8107160649204734,0.5985441669220806,0.037829975611713765,0.04539597073405652,0.553148196188024,18,318675f1463265dc0d48f494660cf8a6eea24ecdebf4ee302ac1aaddf4befde5
Israel,2026,0.8479203976322791,0.8182425012381301,0.8330814494352046,0.8361641277413686,0.6112681983325282,0.04843591681610704,0.058123100179328445,0.5531450981531998,19,5f43beb13a290819930e0cadd1dec094a4076fa34ff6f59f0a9cd3c91f8cc829
Japan,2026,0.8433291222366771,0.8160892314980297,0.8297091768673535,0.8328347880469639,0.6096035284853258,0.04745513663077199,0.056946163956926386,0.5526573645283994,20,71cc39e2277ea1b0db14ed258805d4cffa868b5fc8d796be7c4191d3af42f265
Brazil,2026,0.8452322609972611,0.8166060162356539,0.8309191386164575,0.8340326040763038,0.6102024364999958,0.048945297932745296,0.05873435751929435,0.5514680789807015,21,e0e50fac1aaebf03e91f5eb61892cb3ee1483e6045136f2ef3102ec74f5eaeec
Finland,2026,0.8272939646835228,0.799810512262871,0.8135522384731969,0.8169594933659435,0.6016658811448157,0.04437958757417196,0.053255505089006346,0.5484103760558093,22,0e2e733bf3043086c704c84f55b2114987136589efd7bd08878ab1f27f99715f
Ireland,2026,0.8393578159992189,0.8126224672164682,0.8259901416078436,0.8291770115158097,0.6077746402197488,0.04947510591318955,0.05937012709582746,0.5484045131239214,23,9acea40c15e666e0f02ba3ea0113d8332e58811788ef1ec5f17289e2ffe4eac1
Italy,2026,0.8085425353221671,0.7774595723606297,0.7930010538413984,0.7967875043963415,0.5915798866600146,0.038020932316491944,0.04562511877979033,0.5459547678802242,24,0721160418ff9aa3c5003b2927545bda6f9b081c810dab604a5d7fa12b3b01a9
United Arab Emirates,2026,0.798396918880025,0.7651859348420577,0.7817914268610413,0.7857857581918868,0.5860790135577874,0.04367640556050482,0.05241168667260578,0.5336673268851816,25,6b3d0e3bfd95eaa5cab398a7569dcdc4a0f5d17face7b265441211b5fd532115
Lithuania,2026,0.7909826703590542,0.7590060506879698,0.774994360523512,0.7790986621920859,0.5827354655578869,0.04374155762297786,0.05248986914757343,0.5302455964103134,26,271350821c3a77470180a38e56d3e939c53362285c79474383f2207bdacbbb43
India,2026,0.796388107328652,0.7645184212226266,0.7804532642756392,0.7844622507500456,0.5854172598368668,0.04621911530246009,0.05546293836295211,0.5299543214739146,27,8dd52f1faaaa405ab84650484d042ddbf1a7508977a52f9a21351b67266e0668
Luxembourg,2026,0.7777101014793892,0.7466678150771948,0.762188958278292,0.7665093001521754,0.5764407845379316,0.03907212433493411,0.04688654920192093,0.5295542353360106,28,5af628834af6052d12d5ff4663dba23e71aa4ce50dac2de40be5ccb63a4a365d
Belgium,2026,0.7872679980420839,0.7559053422622252,0.7715866701521545,0.7757461362341495,0.5810592025789186,0.043605741388054294,0.05232688966566515,0.5287323129132535,29,b6c395767c3b3dd388409721da058589df44a23241f40efbbd23c28711d8b4cd
Taiwan,2026,0.7742067747439975,0.7438685644150644,0.7590376695795309,0.763408157019242,0.5748902129714649,0.03864375761606016,0.04637250913927219,0.5285177038321928,30,2f380c516520aaf16bfef1d59e6325d5aae02f84800b0b5b9e57d18cc2c6e461
Slovenia,2026,0.7549410490152872,0.722981847936091,0.7389614484756891,0.743690296298891,0.5650312826112894,0.0359585697958919,0.043150283755070275,0.5218809988562192,31,62af80e6b757513288efee0cd4a63992b8e1782137d61c7b8882b3f9fc72a488
Portugal,2026,0.7828890967544386,0.7518571951508367,0.7673731459526376,0.7716035499690611,0.5789879094463745,0.04870889636271329,0.058450675635255946,0.5205372338111185,32,abae9f8e564e7840843a3da733026fbabfa3d9b874e9eab15c85653252c0071f
Czechia,2026,0.7692391250505265,0.7389806421050367,0.7541098835777815,0.7585652900273597,0.5724687794755238,0.0438690525520253,0.05264286306243036,0.5198259164130934,33,7ad1599a5cc3618591db438774d544a99b059a697d5b1ba1d262fbc1a1994c6e
Hungary,2026,0.7532794480622215,0.7228095863568831,0.7380445172095522,0.7427797749266973,0.5645760219251925,0.03823194744778659,0.0458783369373439,0.5186976849878486,34,629636d7bce03fca1d3e5ea20a72ab794de5b3eec07675d68d100155ffb7c18f
Serbia,2026,0.7489609312264557,0.7188475700350984,0.733904250630777,0.7387090123258954,0.5625406406247916,0.040392637419604034,0.04847116490352484,0.5140694757212667,35,a8535ec259d030a5c8a67c0250527b368caddd20a0eef29b572dfbf317727ea4
Malta,2026,0.743555494256858,0.7133351995004414,0.7284453468786497,0.7333454237679353,0.5598588463458116,0.038464202985847684,0.04615704358301722,0.5137018027627944,36,d11e65436e0dcdab4570c504f01e035ab062f193f58a45137c46afaa157ec436
New Zealand,2026,0.7589576435916553,0.7265132103098556,0.7427354269507555,0.7474019405782601,0.566887104750974,0.04462216059010171,0.05354659270812205,0.513340512042852,37,12b1f95a3aa3b4b572236a798b772c6230feeb39e3bee0e231e1603a44d61e1a
Philippines,2026,0.7324265734189169,0.704054606920609,0.7182405901697629,0.723305801810198,0.5548390353669429,0.03652562013888483,0.04383074416666179,0.5110082912002811,38,b45e34ff6ef0b5053324a960d8e7734e5655ac037b1821583c9524ea68bee378
Thailand,2026,0.7369413397232913,0.7082965483086068,0.7226189440159491,0.7276099913199312,0.5569911301218096,0.03851315713641974,0.04621578856370369,0.5107753415581059,39,02ac2e93708cd26f82b740857718eee41c71a266c5553775c00371ce609eb531
Egypt,2026,0.7194096099333618,0.6942787623005534,0.7068441861169577,0.7120863197391922,0.5492292943314401,0.03373387502618587,0.040480650031423045,0.508748644300017,40,b56e32161ed0ac5b88fdc128d9ace956e2d1238732f17c4529e893c1640aa83d
Switzerland,2026,0.7411088954293581,0.7120432376563812,0.7265760665428697,0.7315011947600167,0.5589367318418523,0.04263423921838153,0.05116108706205784,0.5077756447797945,41,1c5264ce8c899377c0a88e0dc7d7c4e99b2f06c0c1e7f123d11f0eaf9b19bfe8
Iceland,2026,0.7250867769364174,0.7001787213884285,0.7126327491624229,0.7177731147864418,0.5520726918550648,0.03887874922869312,0.04665449907443174,0.505418192780633,42,442c65f27257cfacadf39c0933398347096656ebb2743639edffc59bd39f6cda
Greece,2026,0.7270955884877905,0.7008462350078594,0.713970911747825,0.7190966222282829,0.5527344455759853,0.03973762931660629,0.04768515517992755,0.5050492903960577,43,7702864c5393cd00fb11106e1c0087f858c08fae5544c3587d62f9a858a28a68
Ukraine,2026,0.729451610637471,0.7020090006675136,0.7157303056524923,0.7208331157397718,0.5536026923317299,0.042044540579612245,0.05045344869553469,0.5031492436361952,44,28ad2101994d0f5cbad3820938a8377decc72fc2d253c5c356a280712113871b
Chile,2026,0.7014562175066537,0.6774617256303698,0.6894589715685118,0.6949952531127604,0.5406837610182241,0.031633623758492886,0.03796034851019146,0.5027234125080327,45,a909f6b86a6e8cc08e44e9a918567603a35555dfee22e1647cc94d18c4c1af26
Cyprus,2026,0.7038575279952438,0.6786890893822269,0.6912733086887354,0.6967856143724642,0.5415789416480761,0.03518732951743613,0.042224795420923354,0.49935414622715274,46,45add9c25271b8b35a67b3204359dbfb8aef448d049d7a4feb6de9877d5a0162
Malaysia,2026,0.7070740285842079,0.6810792187937383,0.694076623688973,0.6995455951000366,0.5429589320118622,0.03742290369182809,0.044907484430193705,0.49805144758166847,47,f4e17083481686fc39724d6d82ad08d707f5692dc52cbc2ec755893d5e10ad59
Türkiye,2026,0.6835330173058852,0.6606877543549879,0.6721103858304366,0.677940098318472,0.53215618362108,0.02966677417347057,0.035600129008164685,0.4965560546129153,48,711e485d5463590b2664c29a95e4f516afb5ff34bd6368dd63736e952cc73755
Indonesia,2026,0.6974547190432555,0.6739518959540062,0.6857033074986308,0.6913015647494629,0.5388369168365754,0.03616152790411663,0.04339383348493995,0.49544308335163545,49,81150a24a1f3a3ec18fe6a7f14a73a768c9df84841f102d511fec13e769f755f
Argentina,2026,0.7133852323319988,0.6878835511724555,0.7006343917522271,0.7059865386222952,0.5461794037729915,0.04381475299057695,0.05257770358869234,0.4936017001842991,50,3a110f130ab98d327c39e63276acc4324da06f5656ccaaa95a950dffac147fdb
Peru,2026,0.6813279562859037,0.659740315669344,0.6705341359776238,0.6763831639676997,0.5313777164456938,0.03176718947679991,0.0381206273721599,0.4932570890735339,51,29326cef3c1b48a4f84f572ce2ca3dbaf71e4fff176e53f4d4d799ff4bbf0ce0
Romania,2026,0.6732354112076663,0.6503951249973086,0.6618152681024874,0.6678234223489881,0.527097845636338,0.03247599727844092,0.038971196734129104,0.4881266489022089,52,0078518c809c495c759d4dd14733ce8783bbddd451e26c45333dc203e0270c30
Latvia,2026,0.6950986968935751,0.6727891302943521,0.6839439135939636,0.6895650712379741,0.5379686700808309,0.04319621907040367,0.0518354628844844,0.48613320719634656,53,36bb924018fe157b5f7b0e599b542d4e509701a4021adb2f1ee028649edd545e
Uruguay,2026,0.6862513461668432,0.6623673047522665,0.6743093254595549,0.6801075338156806,0.5332399013696842,0.03959704246766144,0.04751645096119373,0.4857234504084905,54,5e7e07c9bb915c5ba31553159ef7481428c3ce95f2cd8719739b13f99119700b
Russian Federation,2026,0.6712416957692628,0.6497491440752783,0.6604954199222706,0.6665178708232182,0.5264450698734531,0.03474611083499544,0.041695333001994524,0.48474973687145856,55,dd33da93604f211766fba76b78b11c832aae36384f22523caa92edcfd6ae4b3a
Jordan,2026,0.661833731809889,0.6429232789991602,0.6523785054045246,0.6585252232976476,0.5224487461106677,0.033368788366792856,0.04004254604015143,0.48240620007051627,56,5894ec330a6ee63d99f0c5995a10f0ff15af0410be9157a990cb94ac7a1c30dd
Bulgaria,2026,0.6514887803200039,0.6369587218190824,0.6442237510695432,0.650483938371322,0.5184281036475049,0.03013080394917296,0.03615696473900755,0.4822711389084974,57,8eb24033016ae644b74899f3f14ab62a5a704764b78cacd23804a75cffc46635
Viet Nam,2026,0.6682818291007868,0.6477250705195838,0.6580034498101853,0.6640631406688637,0.5252177047962758,0.03711177634327963,0.044534131611935555,0.4806835731843403,58,8ada503c302451acd9cce718a74526deda1311e1a8bb8705854e415eb9906a6e
Kazakhstan,2026,0.6497215065761489,0.6366357313580674,0.6431786189671082,0.649447725586627,0.5179099972551574,0.03121936936703122,0.03746324324043746,0.4804467540147199,59,75f27713ed988eb7cbc396d44298e1b053f59be44abb69a902ea9669762a9e3f
Qatar,2026,0.6664088825661427,0.6472513511767619,0.6568301168714523,0.6629012364716674,0.5246367526976776,0.03791573016792338,0.045498876201508054,0.47913787649616957,60,603351b9a165f53bc046e5e450227b841c4f018c07b70cf4e0c22c3dc2d5da47
Colombia,2026,0.6533315346287081,0.6373893757671023,0.6453604551979052,0.6516099307363751,0.5189910998300314,0.03701873899975847,0.04442248679971016,0.4745686130303213,61,792beaf685c40b94ca1ef64ceb7776aef4c0209f31bb0e2bce28f06b52282c5e
Uzbekistan,2026,0.6415987692719716,0.6272474752912298,0.6344231222816007,0.6408520721357719,0.5136121705297299,0.03294339609564363,0.039532075314772354,0.4740800952149575,62,9278aa9570adb9cc11b2ae39e290354264ce8c1b42c2f8610fb9140399e3dda9
Bahrain,2026,0.6553403461800812,0.6380568893865334,0.6466986177833073,0.6529334381782163,0.519652853550952,0.03910532504815578,0.04692639005778693,0.4727264634931651,63,8cbbf85cc9e10f3737e29f5fb0e6045a89f20c11931f778748bb0f5ad43a7081
Oman,2026,0.660066458066034,0.6426002885381453,0.6513333733020896,0.6574890105129526,0.5219306397183202,0.04157058759454948,0.049884705113459375,0.47204593460486083,64,1c4e53fe1c662d5dd0cf27c4e4a470d87eb1d5941ecad912d1901ab83af1df2e
Ecuador,2026,0.6295651101822155,0.6144785857324347,0.6220218479573252,0.6286704658180493,0.5075213673708685,0.03269466847123071,0.039233602165476854,0.46828776520539167,65,1631d2251b9863235b6006e661000a9ed43439d548f4547d07321fd4c96966ae
Republic of Moldova,2026,0.6045800146906746,0.5810383066686764,0.5928091606796755,0.6000180541151735,0.49319516151943066,0.025330099839150154,0.030396119806980183,0.46279904171245045,66,2015c50bb9a46212f8947f597f62e074c7556d5b5692624ab5dedb30cf65cad5
Kenya,2026,0.6312870955871608,0.6147369781012468,0.6230120368442038,0.6296528108545294,0.5080125398891087,0.042208262828361647,0.050649915394033976,0.4573626244950747,67,8dceff9365100b4966682d7c53b27b413c53c7c8ea7dca5ef2ef8f6b15be9f05
Nigeria,2026,0.5951428870317388,0.5719730410628538,0.5835579640472963,0.5909248653617726,0.4886485671427302,0.026795733983909924,0.03215488078069191,0.4564936863620383,68,58fb9327308c2a6e17a2e3fe56a1384c0d156ef4102ce92bd4ad6321ba7213d5
Mauritius,2026,0.5971818908090518,0.5726836200770871,0.5849327554430694,0.5922842846357571,0.48932827677972246,0.033602669008409664,0.04032320281009159,0.44900507396963085,69,7ebe20f610faf28af157b2c3244bccff592e393a8f0dcf56e771d63b42476da4
Rwanda,2026,0.58748710070325,0.56544863375035,0.5764678672268,0.5839504747048253,0.48516137181425656,0.030451067218517862,0.03654128066222143,0.4486200911520351,70,ea425c06fcc3419d4a4d43ee383532f4534481f25d61191cc02c35495a9035c8
Azerbaijan,2026,0.5891487016563157,0.5656208953295581,0.5773847984929369,0.5848609960770187,0.48561663250035325,0.03303645695296729,0.03964374834356074,0.4459728841567925,71,88d1ed9ffdbfffd834f320ffb39bd8997ee58f257971328839df749f17c2e700
South Africa,2026,0.5835006983528217,0.5619603367713875,0.5727305175621046,0.5802747422575993,0.4833235055906436,0.033129826018028184,0.03975579122163382,0.44356771436900977,72,b40b20a076452726c18824b1e0c3a6de6d673f9185283586397ee55cdb76f6a7
Croatia,2026,0.5504371253696351,0.5213927348678971,0.535914930118766,0.5441451742477703,0.46525872158572906,0.026081932670485974,0.03129831920458317,0.4339604023811459,73,52a1484034fddc806ef79527b456d691392f21d409ea08be02b47a4241c2d795
Bangladesh,2026,0.564886162534573,0.5376068560108526,0.5512465092727128,0.5591997271369552,0.4727859980303215,0.033238840374579186,0.03988660844949502,0.43289938958082647,74,68fbf1eeb6f1dd055bdd45cd6eb02ecb9c3d6d1d56296a3bc47cebea32f14796
Costa Rica,2026,0.5488510049814187,0.521328136775694,0.5350895708785564,0.543324432455935,0.4648483506898114,0.030133143374970823,0.03615977204996498,0.42868857863984644,75,2fd305bb95b8de6c40b6ad61a3eb7cdbfc310d947d1331174bde4b1911308840
Iran (Islamic Republic of),2026,0.5554047750631059,0.5262806571779248,0.5408427161205154,0.5489880412396527,0.46768015508167027,0.03350980824881976,0.04021176989858371,0.42746838518308655,76,21efdfe0a6ebb5ca258e135724cb5149d4e81dd0b209af2b22c4173699c09a5e
Sri Lanka,2026,0.5243781488044758,0.4908163045584721,0.5075972266814739,0.5163471512951815,0.45135971010943465,0.024064780299927545,0.028877736359913052,0.4224819737495216,77,b449c061bab231163505b56e33e33b4c04f5ae3fa7bd68620b5504db15e36291
Ghana,2026,0.5336179984684248,0.5017979802329839,0.5177079893507044,0.526271542535338,0.4563219057295129,0.03242961304635298,0.03891553565562358,0.41740637007388937,78,3691f915b2527e0ae4aa539f65f4ecc1d4200b0b1c7e19cc8fe548e9d7f319f0
Mexico,2026,0.5160269127529938,0.4854977283004241,0.500762320526709,0.5096114178946255,0.44799184340915665,0.02728143884504577,0.03273772661405493,0.4152541167951017,79,776bb7da1ff41afe272cf21bb7aa87774a99a0dcaae667ebc818e60f836e7ea9
Pakistan,2026,0.5198784786130712,0.4865958958678753,0.5032371872404733,0.5120609177015198,0.44921659331260383,0.029603468658159063,0.03552416238979087,0.41369243092281294,80,1858ca72a6062315fafb2b911e8057967292fe5d82a5d1e720676205df1b2aa3
Slovakia,2026,0.5180055320784271,0.4861221765250533,0.5020638543017402,0.5108990135043234,0.4486356412140056,0.03052769716468253,0.03663323659761904,0.4120024046163866,81,426b14b7f85ed1c6af6cd0f04a9d8bf2b18d5e69ecf4f755e5bc2b4851801038
Zambia,2026,0.5077219935667998,0.478047414999677,0.4928847042832384,0.5018649228465977,0.44411859588514274,0.02927028139258142,0.035124337671097704,0.40899425821404506,82,15fe7925088a0f4a8e1af62539e52f606baee879c2a023350415bf938b5b4f93
Dominican Republic,2026,0.5119197414988065,0.4818371697422536,0.49687845562053,0.5057920381188264,0.44608215352125713,0.03210599793317883,0.03852719751981459,0.40755495600144254,83,44c2e1f602073dab7d57ffe0cf1ab759aa87610c762a942ad2b2cccd62a0534b
Jamaica,2026,0.4712154783001006,0.4347666932236601,0.4529910857618803,0.4627060353681215,0.42453915214590465,0.015321663802301478,0.018385996562761773,0.40615315558314286,84,169972d547ae07e7a1ab6273d67ff4ac153ef31e10c74ffd6b657f46aa064db2
Benin,2026,0.4916888930664016,0.4573760254947137,0.4745324592805576,0.4838603693742037,0.4351163191489458,0.027767577664193167,0.0333210931970318,0.40179522595191397,85,85e1d4a83e24bc355ec20cc1112e2660d751df830473729499a799fcbe8cb2c9
Ethiopia,2026,0.4768483854906247,0.4384057190844297,0.4576270522875272,0.4672743332714694,0.4268233010975786,0.024154915091683646,0.028985898110020374,0.3978374029875582,86,6e8c6a7bc350dcf596a00c4ea95d72ed68b5b5a778e37b0b8e52303097b77254
Algeria,2026,0.4678027282425281,0.4320966387459358,0.4499496834942319,0.45971262773161803,0.4230424483276529,0.023532382913371935,0.02823885949604632,0.3948035888316066,87,f6d0d6cafd0193e310129db5d6ca70377ac81832b0cfcc1c6148dfe4e1270abf
Kuwait,2026,0.4620490521482448,0.4282853513059581,0.4451672017271014,0.455000682499697,0.4206864757116924,0.02295993685140065,0.02755192422168078,0.3931345514900116,88,88b1ed0b11dbd19ac250e58d39702e7db1bc8adf2fc7daab9ae451ae7d95a1cd
Albania,2026,0.463906902569919,0.4287375379513792,0.4463222202606491,0.45614463078082185,0.4212584498522548,0.024649083821158525,0.029578900585390228,0.39167954926686455,89,6fb673bd48e93456928225ae4f4308ce5cc6de82609ab78f712c85dd9124255d
Senegal,2026,0.4563416929192493,0.4223423268232811,0.4393420098712652,0.44927797562030425,0.41782512227199603,0.023146541405993825,0.02777584968719259,0.39004927258480343,90,88aa2b5aa2853b5925ea3b8b8e3d2323a7285d829154080b9bc9c9e1583f00bb
Côte D'Ivoire,2026,0.4731337131736545,0.4353050106586853,0.4542193619161699,0.46392180731353305,0.42514703811861043,0.029565755559762718,0.03547890667171526,0.38966813144689516,91,21be90761b3b02666235078145af5d92b59b54c5b3c90ef0ee1a06bfb131a019
Nepal,2026,0.4355039143889146,0.4036088800844081,0.4195563972366614,0.42982195841987625,0.40809711367178203,0.015441164687608781,0.018529397625130537,0.38956771604665147,92,25cb8acfe4be9a83a13d3128c4ac2c537763c3191194bfb6ee207db0f2baab4e
Georgia,2026,0.4426917212153373,0.4094657737774811,0.4260787474964091,0.4362397156786031,0.41130599230114545,0.020505144510823206,0.024606173412987847,0.38669981888815763,93,12e6e13a90cd38713b4cdff841c015a7ce6b10d34b1fc9be2bf07b847bc01b7f
Morocco,2026,0.4511023131923206,0.4170668159600353,0.4340845645761779,0.4441119021391324,0.41524208553141007,0.024117444852242518,0.02894093382269102,0.38630115170871904,94,f4710ca8ee810c4ae2d9ccc229525459593b9f577fa877a54f28b58dbd0f1938
Mongolia,2026,0.4446552444278007,0.4100686893047093,0.427361966866255,0.43750935537222935,0.4119408121479586,0.02436735595077439,0.029240827140929265,0.3826999850070293,95,2f81966443138b59f819ac12d4f459b9161006df379e53e7106d48623368ef48
Tunisia,2026,0.430385303565745,0.3985056308003704,0.4144454671830577,0.4247995322672775,0.40558590059548266,0.020676724345439743,0.02481206921452769,0.380773831380955,96,6e01b85e58984caab3f7b2f3c5a7fd8bea65ec6d3c7eab45f0b4ab8d633af649
Andorra,2026,0.42861802982189,0.3981826403393553,0.4134003350806227,0.42376331948258256,0.4050677942031352,0.020420884389776288,0.024505061267731543,0.38056273293540366,97,db675dfc6bdc9b17ab229a326f1c6c12171d5b017237e969d2ccbb5d286dafce
United Republic of Tanzania,2026,0.4397167584338914,0.4074201675243858,0.4235684629791386,0.4337670296081769,0.41006964926593237,0.027166210785926258,0.03259945294311151,0.37747019632282086,98,40895ca43c23ee8fcbe032288b938fd93fc67c0f97af8d84493c61850cd9ba20
