country,imf_res,ndgain_res,global_resilience,RES_INDEX
"Liechtenstein, Principality of",0.7596488653337573,1.0,0.7596488653337573,0.8397659102225049
"China, People's Republic of",1.0,0.4267755699908753,1.0,0.8089251899969584
Norway,0.9637195603682014,0.4418257292857956,0.9637195603682014,0.7897549500073996
Ireland,0.8582821076340853,0.4533463926760841,0.8582821076340853,0.7233035359814183
Denmark,0.7523908489273953,0.6480447532779395,0.7523908489273953,0.7176088170442433
Luxembourg,0.7671126776904142,0.5396610588621555,0.7671126776904142,0.6912954714143279
United States,0.7527998251908913,0.4416822403257578,0.7527998251908913,0.6490939635691801
Singapore,0.5798369575023411,0.7753819318741829,0.5798369575023411,0.6450186156262884
"Iran, Islamic Republic of",0.8411604355740477,0.1998156254201433,0.8411604355740477,0.627378832189413
"Netherlands, The",0.6458335451495243,0.5623993101923727,0.6458335451495243,0.6180221334971404
United Arab Emirates,0.6875518147480415,0.4676558830058956,0.6875518147480415,0.6142531708339929
"San Marino, Republic of",0.3993349387884342,0.963395570824457,0.3993349387884342,0.5873551494671084
Sweden,0.6106792840603702,0.5220265897224887,0.6106792840603702,0.5811283859477431
Kuwait,0.7116433263291332,0.2761522028099812,0.7116433263291332,0.5664796184894159
"Korea, Republic of",0.5531538642609926,0.5703174233473437,0.5531538642609926,0.5588750506231096
Switzerland,0.6359858298670694,0.398117832147876,0.6359858298670694,0.556696497294005
Australia,0.5797339258750566,0.4877038731684803,0.5797339258750566,0.5490572416395311
Tuvalu,0.43085414226739926,0.760745501509182,0.43085414226739926,0.5408179286813268
Germany,0.5784100257904946,0.4640181975805941,0.5784100257904946,0.5402794163871945
India,0.5656881595611489,0.4824319988561507,0.5656881595611489,0.5379361059928162
Solomon Islands,0.396734726344251,0.7639655305715084,0.396734726344251,0.5191449944200035
Vietnam,0.5536740688084262,0.4188176934341885,0.5536740688084262,0.5087219436836803
Japan,0.45813689875547986,0.5923496300497691,0.45813689875547986,0.5028744758535763
Iceland,0.49992503993555976,0.4996430708192778,0.49992503993555976,0.4998310502301324
Bhutan,0.44493990452831983,0.6036817503867858,0.44493990452831983,0.4978538531478085
Brunei Darussalam,0.4616151577357654,0.5534281381767745,0.4616151577357654,0.49221948454943515
Qatar,0.53900444302191,0.3927298474810275,0.53900444302191,0.49024624450828247
Chad,0.4356010181490622,0.5814132842727359,0.4356010181490622,0.48420510685695345
"Andorra, Principality of",0.43878518546160084,0.5732167872867828,0.43878518546160084,0.48359571940332824
"Nauru, Republic of",0.39666500095396134,0.6490405698500107,0.39666500095396134,0.4807901905859778
Benin,0.39388353596813164,0.6512688323605115,0.39388353596813164,0.4796786347655915
Saudi Arabia,0.4650120746998105,0.494589022600631,0.4650120746998105,0.47487105733341733
Belgium,0.48744501917579325,0.4476630256684789,0.48744501917579325,0.4741843546733551
Guyana,0.5331275092959723,0.3525859102619532,0.5331275092959723,0.47294697628463256
Cyprus,0.5141050528596809,0.3512708819223492,0.5141050528596809,0.4598269958805703
Greece,0.5453134125442882,0.284715415782394,0.5453134125442882,0.4584474136236569
Maldives,0.36151775347935133,0.6411788347075531,0.36151775347935133,0.4547381138887519
Antigua and Barbuda,0.4190698691404274,0.5257019724536662,0.4190698691404274,0.4546139035781736
Austria,0.4708934625276012,0.4205512039020267,0.4708934625276012,0.45411270965240974
Spain,0.5356126399765625,0.280906867808449,0.5356126399765625,0.45071071592052464
Malta,0.5544790402845926,0.2422099061524082,0.5544790402845926,0.45038932890719785
"Slovenia, Republic of",0.49474582782644894,0.3589641985276992,0.49474582782644894,0.4494852847268657
"Mauritania, Islamic Republic of",0.3711710656265822,0.6007073275616268,0.3711710656265822,0.4476831529382637
Canada,0.4676213669179759,0.4069989479493207,0.4676213669179759,0.4474138939284242
"Marshall Islands, Republic of the",0.3321261784597294,0.6700578865478916,0.3321261784597294,0.4447700811557835
Nepal,0.4521607585908454,0.4294046400831447,0.4521607585908454,0.4445753857549452
France,0.46127522988803055,0.4029183552254081,0.46127522988803055,0.441822938333823
Russian Federation,0.5969340527562981,0.1276079891854993,0.5969340527562981,0.44049203156603184
"Micronesia, Federated States of",0.2941782563744712,0.7327452559142542,0.2941782563744712,0.4403672562210656
Kiribati,0.29290228297855225,0.7311955429794321,0.29290228297855225,0.43900003631217893
Finland,0.4157960462547308,0.4830098615631284,0.4157960462547308,0.43820065135753
Zambia,0.4781446762867503,0.3578533705629436,0.4781446762867503,0.43804757437881475
Oman,0.4683696990698456,0.3691726912559168,0.4683696990698456,0.435304029798536
"Bahrain, Kingdom of",0.39936902290724635,0.499795974998996,0.39936902290724635,0.43284467360449624
"Tanzania, United Republic of",0.4190579097262034,0.4522754842917413,0.4190579097262034,0.4301304345813827
"Bahamas, The",0.39597638703467575,0.497218041701596,0.39597638703467575,0.42972360525698255
Bangladesh,0.35837953807428186,0.5648784794910738,0.35837953807428186,0.42721251854654585
Italy,0.4329528956199795,0.4099134873976007,0.4329528956199795,0.4252730928791866
"Estonia, Republic of",0.4375076674711415,0.3960527156972023,0.4375076674711415,0.4236893502131618
"Türkiye, Republic of",0.4640907742266264,0.3390233678916378,0.4640907742266264,0.42240163878163023
Rwanda,0.3021033875972764,0.6438643281641759,0.3021033875972764,0.4160237011195762
Portugal,0.46158627128065083,0.3106897148056884,0.46158627128065083,0.4112874191223301
New Zealand,0.3981382237650581,0.4346014066202963,0.3981382237650581,0.41029261805013745
Georgia,0.40791907235254077,0.4131178092205815,0.40791907235254077,0.4096519846418876
Burkina Faso,0.3557086635439648,0.4780761389969413,0.3557086635439648,0.39649782202829026
"São Tomé and Príncipe, Democratic Republic of",0.30841778806362224,0.5674329823260589,0.30841778806362224,0.39475618615110114
Nicaragua,0.475016066164422,0.2170923775055477,0.475016066164422,0.38904150327813053
"Azerbaijan, Republic of",0.4542310907483981,0.2571027817202852,0.4542310907483981,0.3885216544056938
Mauritius,0.36543672248667036,0.424744964233523,0.36543672248667036,0.3852061364022879
Cambodia,0.3859305306614533,0.3803437693542841,0.3859305306614533,0.38406827689239686
"Gambia, The",0.3272219470517912,0.4828030916560811,0.3272219470517912,0.3790823285865545
Sierra Leone,0.2800373047362714,0.5765556488850271,0.2800373047362714,0.3788767527858566
"Uzbekistan, Republic of",0.49473194258653647,0.1457880293414593,0.49473194258653647,0.37841730483817737
Seychelles,0.26282746103448784,0.6081412634153458,0.26282746103448784,0.3779320618281072
"Lithuania, Republic of",0.38779913715555325,0.3547493333500308,0.38779913715555325,0.3767825358870458
"Croatia, Republic of",0.3674750481467211,0.3946099091892551,0.3674750481467211,0.3765200018275658
United Kingdom,0.3712655112643077,0.381500484190825,0.3712655112643077,0.3746771689064801
Indonesia,0.3813811870030216,0.3573163963550566,0.3813811870030216,0.37335959012036657
Israel,0.3935809328995178,0.329296910242624,0.3935809328995178,0.37215292534721983
Malaysia,0.4109035834516628,0.2882215309071553,0.4109035834516628,0.37000956593682693
Myanmar,0.37309515896495093,0.3633295004361697,0.37309515896495093,0.36983993945535715
Mongolia,0.4325547313956958,0.2439916160710107,0.4325547313956958,0.3697003596208008
Uganda,0.31829514502422146,0.4674657629258668,0.31829514502422146,0.3680186843247699
Thailand,0.36242976823732725,0.3780601996957448,0.36242976823732725,0.36763991205679974
Senegal,0.24170506611537482,0.6165886343290469,0.24170506611537482,0.3666662555199322
St. Kitts and Nevis,0.19414594983216368,0.7104989650812077,0.19414594983216368,0.36626362158184506
Grenada,0.3446809454809276,0.4020775399425415,0.3446809454809276,0.3638131436347989
"Lesotho, Kingdom of",0.3936013640980766,0.2873943278192697,0.3936013640980766,0.35819901867180765
Gabon,0.40092975301213457,0.26686609077994,0.40092975301213457,0.35624186560140303
Tonga,0.17085326125629022,0.7208334015033716,0.17085326125629022,0.35417997467198403
Niger,0.16709132708747496,0.7279837801285727,0.16709132708747496,0.3540554781011742
"Congo, Republic of",0.33538521643572106,0.390542432422144,0.33538521643572106,0.35377095509786205
Côte d'Ivoire,0.3341964886579181,0.3910676587637174,0.3341964886579181,0.35315354535985116
"Latvia, Republic of",0.3443618465397151,0.3673674461237601,0.3443618465397151,0.3520303797343967
"Congo, Democratic Republic of the",0.2701828532523001,0.5084279594430522,0.2701828532523001,0.3495978886492175
Argentina,0.37681847027714077,0.2923936059574044,0.37681847027714077,0.34867684883722866
Czech Republic,0.41659835475524626,0.202077995783661,0.41659835475524626,0.3450915684313845
Jordan,0.39651108559686915,0.2369639348186601,0.39651108559686915,0.34332870200413285
"Belarus, Republic of",0.45443778494292575,0.1206099513479058,0.45443778494292575,0.3431618404112524
Panama,0.37670853837673174,0.2700220720241995,0.37670853837673174,0.3411463829258876
El Salvador,0.35936853491400483,0.3039202700124462,0.35936853491400483,0.3408857799468186
"Madagascar, Republic of",0.2684622818018888,0.4810645269751206,0.2684622818018888,0.3393296968596327
Vanuatu,0.22956497434121115,0.557354450021748,0.22956497434121115,0.3388281329013901
Togo,0.2916167570807329,0.4325583920728139,0.2916167570807329,0.33859730207809324
Romania,0.3061067450931271,0.4023222069449547,0.3061067450931271,0.3381785657104029
"Armenia, Republic of",0.3761651399770491,0.255958889896425,0.3761651399770491,0.3360963899501744
Ghana,0.32661446461916294,0.3519754873503572,0.32661446461916294,0.3350681388628944
Montenegro,0.36666323900615183,0.2667974648569541,0.36666323900615183,0.3333746476230859
Belize,0.2962993474774298,0.4022189733495291,0.2962993474774298,0.33160588943479624
Guinea-Bissau,0.22052880999039456,0.5496659415535504,0.22052880999039456,0.3302411871781132
"Serbia, Republic of",0.30583654284379563,0.3789821445768301,0.30583654284379563,0.33021841008814046
Guinea,0.27931095801870476,0.4291168115126725,0.27931095801870476,0.329246242516694
Philippines,0.3142134298095826,0.3514989673859342,0.3142134298095826,0.32664194233503313
"Kazakhstan, Republic of",0.3939328179433133,0.1882489272681857,0.3939328179433133,0.3253715210516041
"Palau, Republic of",0.18407084476815705,0.6073143864995441,0.18407084476815705,0.32515202534528603
"Ethiopia, The Federal Democratic Republic of",0.25640907335094126,0.4478964798838475,0.25640907335094126,0.32023820886191
Botswana,0.2760512226205701,0.3983636637431341,0.2760512226205701,0.3168220363280914
Dominica,0.23680158482307204,0.463107369161815,0.23680158482307204,0.3122368462693197
"Poland, Republic of",0.343039631244691,0.2447980609160062,0.343039631244691,0.3102924411351294
Libya,0.38380582385127265,0.1588480717700548,0.38380582385127265,0.3088199064908667
Hungary,0.3211763888090026,0.2838851953482513,0.3211763888090026,0.3087459909887522
Chile,0.30671900218094306,0.3034964383275755,0.30671900218094306,0.30564481422982054
Slovak Republic,0.29269593214827117,0.3273074460113027,0.29269593214827117,0.30423310343594834
Angola,0.2506194568102517,0.4016769204256235,0.2506194568102517,0.3009719446820423
Honduras,0.3329680141163136,0.2368123876049697,0.3329680141163136,0.3009161386125323
Uruguay,0.21311315115735435,0.4763148271940932,0.21311315115735435,0.30084704316960065
Burundi,0.26060558286989816,0.3768877465399232,0.26060558286989816,0.2993663040932398
"Tajikistan, Republic of",0.41016320990431787,0.0736291902246616,0.41016320990431787,0.29798520334443246
St. Lucia,0.3134138537653735,0.2665903548592637,0.3134138537653735,0.29780602079667023
Jamaica,0.2775304438136141,0.338089486900921,0.2775304438136141,0.29771679150938307
St. Vincent and the Grenadines,0.22917833726366818,0.4263827192902945,0.22917833726366818,0.29491313127254365
Papua New Guinea,0.19133145081176797,0.5003725799875817,0.19133145081176797,0.2943451605370392
Bulgaria,0.3202479732871889,0.2419221205092652,0.3202479732871889,0.2941393556945477
Guatemala,0.3294896035516197,0.2181667274925252,0.3294896035516197,0.2923819781985882
Dominican Republic,0.24854795307463481,0.3779171179782042,0.24854795307463481,0.2916710080424913
"Moldova, Republic of",0.2845453216461579,0.2975911077995681,0.2845453216461579,0.288893917030628
Mali,0.16176812573853858,0.5417141636150349,0.16176812573853858,0.28841680503070405
Algeria,0.34432743480624395,0.1380080076020216,0.34432743480624395,0.2755542924048365
Djibouti,0.21625082473853283,0.3873361309396531,0.21625082473853283,0.27327926013890624
Barbados,0.15551532787332503,0.5075292996569373,0.15551532787332503,0.2728533184678624
Nigeria,0.24783570275775843,0.3184889371454499,0.24783570275775843,0.2713867808869889
Albania,0.2726362057950433,0.2652932441300583,0.2726362057950433,0.2701885519067149
Peru,0.2708292955429354,0.2639508923709832,0.2708292955429354,0.26853649448561795
"Mozambique, Republic of",0.21570292822460801,0.3575102193534731,0.21570292822460801,0.262972025267563
Somalia,0.12977485354077933,0.5263452039870767,0.12977485354077933,0.2619649703562118
Cabo Verde,0.17714072803196496,0.41403166269276,0.17714072803196496,0.2561043729188966
Bosnia and Herzegovina,0.3198549025396742,0.125120047268294,0.3198549025396742,0.2549432841158808
Haiti,0.22103088053296596,0.3125618735664544,0.22103088053296596,0.25154121154412873
Mexico,0.27139440674583976,0.1917683945809346,0.27139440674583976,0.24485240269087138
Samoa,0.06296332434542887,0.6000742002809709,0.06296332434542887,0.24200028299060952
Costa Rica,0.20531750412276156,0.3110089407911145,0.20531750412276156,0.2405479830122125
Paraguay,0.286879966774061,0.1300176827396996,0.286879966774061,0.23459253876260722
Lao People's Democratic Republic,0.1665553068195344,0.3658604641313203,0.1665553068195344,0.23299035925679634
"North Macedonia, Republic of",0.2221516048828804,0.250904813321311,0.2221516048828804,0.2317360076956906
Brazil,0.2189809369628155,0.2334870515036251,0.2189809369628155,0.22381630847641873
Cameroon,0.15640649155385014,0.3473959353168684,0.15640649155385014,0.22006963947485622
Malawi,0.09751802897533493,0.4588550658854659,0.09751802897533493,0.21796370794537856
Kenya,0.11575940840742022,0.4210958439536829,0.11575940840742022,0.21753822025617442
Zimbabwe,0.1829997244590866,0.2822444334320818,0.1829997244590866,0.21608129411675167
"Eswatini, Kingdom of",0.17380562753975554,0.2982655613595461,0.17380562753975554,0.21529227214635238
Kyrgyz Republic,0.32011969369311216,0.0,0.32011969369311216,0.21341312912874144
Colombia,0.17691801292934034,0.2813495844643486,0.17691801292934034,0.2117285367743431
Ukraine,0.19550376286380391,0.2410818439992791,0.19550376286380391,0.21069645657562897
Namibia,0.10867567172535154,0.4096667920207204,0.10867567172535154,0.20900604515714116
"Yemen, Republic of",0.1488711011406534,0.3281794309412519,0.1488711011406534,0.20864054440751956
Tunisia,0.20574109375635383,0.1925034079576859,0.20574109375635383,0.20132853182346452
"Fiji, Republic of",0.029070466376173644,0.5434919580580782,0.029070466376173644,0.20054429693680845
Morocco,0.23320244892262615,0.1341680592029745,0.23320244892262615,0.20019098568274227
Ecuador,0.10245435624903078,0.3787776220288869,0.10245435624903078,0.1945621115089828
Trinidad and Tobago,0.1740449358300327,0.2204723235824268,0.1740449358300327,0.1895207317474974
Iraq,0.16481092255955634,0.2182237937925159,0.16481092255955634,0.18261521297054287
Sudan,0.006044460650093622,0.5311305378428711,0.006044460650093622,0.18107315304768615
"Timor-Leste, Democratic Republic of",0.01829821332475359,0.4999199428299548,0.01829821332475359,0.1788387898264873
"Equatorial Guinea, Republic of",0.2412243029308319,0.0396784944541562,0.2412243029308319,0.17404236677194004
Suriname,0.15049853276632877,0.2133476507783791,0.15049853276632877,0.17144823877034554
Liberia,0.0,0.4797679497525944,0.0,0.15992264991753147
Pakistan,0.018165223846225893,0.4142552809220975,0.018165223846225893,0.15019524287151642
"Egypt, Arab Republic of",0.08784820656270863,0.2595043070849901,0.08784820656270863,0.14506690673680248
Bolivia,0.04832967810182852,0.3242228626437799,0.04832967810182852,0.14029407294914567
"Venezuela, República Bolivariana de",0.10082700082809581,0.060866067493609,0.10082700082809581,0.08750668971660021
Turkmenistan,0.0737099663588203,0.0432681312996418,0.0737099663588203,0.0635626880057608
