COUNTRY,RES_IMF,RES_NDGAIN,RES_FINAL
"Liechtenstein, Principality of",0.4124068244594668,1.0,0.6474440946756801
"San Marino, Republic of",0.3338960388366469,0.963395570824457,0.585695851631771
Singapore,0.3732266176782926,0.7753819318741829,0.5340887433566488
Tuvalu,0.3407639316518523,0.760745501509182,0.5087565595947842
Denmark,0.4108253352964185,0.6480447532779395,0.5057131024890269
Solomon Islands,0.333329464228398,0.7639655305715084,0.5055838907656421
"Micronesia, Federated States of",0.3109828702312389,0.7327452559142542,0.479687824504445
Kiribati,0.3107048413615032,0.7311955429794321,0.4789011220086748
Luxembourg,0.4140331556353969,0.5396610588621555,0.4642843169261004
Niger,0.2832911993697221,0.7279837801285727,0.4611682316732623
Benin,0.3327082026564804,0.6512688323605115,0.4601324545380928
"Nauru, Republic of",0.3333142713791457,0.6490405698500107,0.4596047907674917
"Marshall Islands, Republic of the",0.3192515519450788,0.6700578865478916,0.45957408578620396
Tonga,0.2841109079218917,0.7208334015033716,0.4587999053544837
St. Kitts and Nevis,0.2891862801032927,0.7104989650812077,0.45771135409445873
"Netherlands, The",0.3876069775891213,0.5623993101923727,0.45752391063042186
Maldives,0.3256558440789059,0.6411788347075531,0.4518650403303648
Norway,0.4568729119720008,0.4418257292857956,0.45085403889751874
"China, People's Republic of",0.4647782567516051,0.4267755699908753,0.44957718204731323
"Korea, Republic of",0.3674124915541343,0.5703174233473437,0.4485744642714181
Bhutan,0.3438331559580131,0.6036817503867858,0.44777259372952216
Rwanda,0.3127097207152934,0.6438643281641759,0.44517156369484645
Japan,0.3467087217030519,0.5923496300497691,0.4449650850417388
Ireland,0.4338985647753955,0.4533463926760841,0.44167769593567097
Chad,0.3417982545776871,0.5814132842727359,0.43764426645570664
"Mauritania, Islamic Republic of",0.3277592574212877,0.6007073275616268,0.4369384854774233
Sweden,0.3799470220537861,0.5220265897224887,0.4367788491212672
"Andorra, Principality of",0.3424920703279103,0.5732167872867828,0.4347819571114593
Brunei Darussalam,0.3474666187062572,0.5534281381767745,0.42985122649446417
Senegal,0.2995491978476122,0.6165886343290469,0.4263649724401861
Seychelles,0.304151672792822,0.6081412634153458,0.42574750904183156
United Arab Emirates,0.3966972010850821,0.4676558830058956,0.42508067385340753
United States,0.4109144493866121,0.4416822403257578,0.4232215657622704
Bangladesh,0.324972041042848,0.5648784794910738,0.42093461642213836
Australia,0.3732041675496516,0.4877038731684803,0.4190040497971831
"São Tomé and Príncipe, Democratic Republic of",0.3140856002048905,0.5674329823260589,0.4154245530533579
Sierra Leone,0.3079016204077472,0.5765556488850271,0.4153632317986592
"Palau, Republic of",0.2869909599795558,0.6073143864995441,0.41512033058755116
India,0.3701436581806341,0.4824319988561507,0.4150589944508407
Iceland,0.3558141699026865,0.4996430708192778,0.41334573026932303
Antigua and Barbuda,0.3381961914868713,0.5257019724536662,0.41319850387358925
Germany,0.372915695669806,0.4640181975805941,0.4093566964341212
Saudi Arabia,0.3482067916496117,0.494589022600631,0.40675968403001944
Vanuatu,0.2969039263981812,0.557354450021748,0.40108413584760794
"Bahrain, Kingdom of",0.3339034656129885,0.499795974998996,0.4002604693673915
"Bahamas, The",0.3331642255002304,0.497218041701596,0.39878575198077665
Guinea-Bissau,0.2949349867876544,0.5496659415535504,0.3968273686940128
Samoa,0.2606021754427359,0.6000742002809709,0.3963909853780299
Finland,0.3374828401900996,0.4830098615631284,0.3956936487393111
Belgium,0.3530948294546699,0.4476630256684789,0.3909221079401935
Switzerland,0.3854612046770712,0.398117832147876,0.3905238556653931
Vietnam,0.3675258417876242,0.4188176934341885,0.38804258244624995
"Congo, Democratic Republic of the",0.3057543797076539,0.5084279594430522,0.38682381160181323
Mali,0.2821312977141282,0.5417141636150349,0.38596444407449093
Burkina Faso,0.3243900694835311,0.4780761389969413,0.38586449728889516
"Gambia, The",0.3181829419571024,0.4828030916560811,0.38403100183669386
"Tanzania, United Republic of",0.3381935855842482,0.4522754842917413,0.38382634506724544
Nepal,0.3454065476133182,0.4294046400831447,0.3790057846012488
Austria,0.3494883196308907,0.4205512039020267,0.3779134733393451
Uganda,0.3162378319054216,0.4674657629258668,0.3767290043135997
Qatar,0.3643293962426661,0.3927298474810275,0.3756895767380107
"Madagascar, Republic of",0.3053794749195233,0.4810645269751206,0.3756534957417622
Somalia,0.2751601074551948,0.5263452039870767,0.3756341460679476
New Zealand,0.3336352800101627,0.4346014066202963,0.3740217306542162
Papua New Guinea,0.2885730134129248,0.5003725799875817,0.3732928400427875
Canada,0.3487753446998139,0.4069989479493207,0.3720647859996166
Barbados,0.2807688411545235,0.5075292996569373,0.37147302455548903
France,0.347392549955608,0.4029183552254081,0.36960287206352804
"Fiji, Republic of",0.2532170739794591,0.5434919580580782,0.36932702761090674
Italy,0.3412212405772093,0.4099134873976007,0.3686981393053659
Georgia,0.3357664829698255,0.4131178092205815,0.3667070134701279
Uruguay,0.2933191480481558,0.4763148271940932,0.36651741970653073
Mauritius,0.3265097698167927,0.424744964233523,0.36580384758348483
Dominica,0.2984807513064623,0.463107369161815,0.3643313984486034
"Estonia, Republic of",0.3422137048979645,0.3960527156972023,0.36374930921765963
Sudan,0.2481998107927621,0.5311305378428711,0.36137210161280575
"Ethiopia, The Federal Democratic Republic of",0.3027531349558348,0.4478964798838475,0.3608104729270398
Togo,0.310424731044525,0.4325583920728139,0.35927819545584055
Guyana,0.3630488387901676,0.3525859102619532,0.35886366737888187
Oman,0.3489384029132819,0.3691726912559168,0.3570321182503359
"Slovenia, Republic of",0.3546856428554746,0.3589641985276992,0.3563970651243644
Guinea,0.3077433527216284,0.4291168115126725,0.356292736238046
Cyprus,0.3589039310048693,0.3512708819223492,0.3558507113718612
Grenada,0.3219871792676096,0.4020775399425415,0.35402332353758237
"Croatia, Republic of",0.3269539118194627,0.3946099091892551,0.35401631076737966
Zambia,0.3510683265276771,0.3578533705629436,0.35378234414178367
Kuwait,0.401946633210029,0.2761522028099812,0.3516288610500099
Cambodia,0.3309752785347944,0.3803437693542841,0.3507226748625903
"Timor-Leste, Democratic Republic of",0.2508698484417073,0.4999199428299548,0.3504898861970063
United Kingdom,0.3277798367013826,0.381500484190825,0.34926809569715955
Romania,0.3135820343256548,0.4023222069449547,0.34907810337337475
St. Vincent and the Grenadines,0.2968196799162318,0.4263827192902945,0.3486448956658569
Côte d'Ivoire,0.3197026632348954,0.3910676587637174,0.3482486614464242
"Congo, Republic of",0.3199616816764577,0.390542432422144,0.3481939819747323
Belize,0.3114450464520348,0.4022189733495291,0.3477546172110325
Thailand,0.3258545679967817,0.3780601996957448,0.3467368206763669
Malawi,0.2681314903195428,0.4588550658854659,0.34442092054591206
"Türkiye, Republic of",0.3480060444161149,0.3390233678916378,0.3444129738063241
Botswana,0.3070330710250982,0.3983636637431341,0.34356530811231256
Myanmar,0.3281785087143347,0.3633295004361697,0.34223890540306867
Angola,0.3014916035256661,0.4016769204256235,0.34156573028564907
Indonesia,0.3299839969928451,0.3573163963550566,0.3409169567377297
"Lithuania, Republic of",0.3313824394937901,0.3547493333500308,0.34072919703628635
"Latvia, Republic of",0.3219176490421026,0.3673674461237601,0.34009756787476564
Liberia,0.2468827499762261,0.4797679497525944,0.3400368298867734
"Serbia, Republic of",0.3135231584696049,0.3789821445768301,0.33970675291249497
"Iran, Islamic Republic of",0.4301678293650318,0.1998156254201433,0.33802694778707637
Cabo Verde,0.2854809186813107,0.41403166269276,0.3369012162858904
Greece,0.3657040923539751,0.284715415782394,0.3333086217253427
Burundi,0.3036675355241556,0.3768877465399232,0.33295561993046263
Portugal,0.3474603244774811,0.3106897148056884,0.33275208060876404
Dominican Republic,0.3010402321694068,0.3779171179782042,0.33179098649292577
Kenya,0.272106204935179,0.4210958439536829,0.33170206054258056
Ghana,0.3180505742645877,0.3519754873503572,0.3316205394988955
Djibouti,0.2940028330232224,0.3873361309396531,0.3313361521897946
Israel,0.332642266807493,0.329296910242624,0.3313041241815454
Spain,0.3635903375992178,0.280906867808449,0.3305169496829103
Philippines,0.3153484445002151,0.3514989673859342,0.32980865365450274
Namibia,0.2705626905409763,0.4096667920207204,0.32620433113287395
Jamaica,0.3073553866765894,0.338089486900921,0.319649026766322
"Mozambique, Republic of",0.2938834488346603,0.3575102193534731,0.31933415704218543
Malta,0.3677012414553632,0.2422099061524082,0.31750470733418124
Slovak Republic,0.3106598784427656,0.3273074460113027,0.31731890547018043
Malaysia,0.3364167945282454,0.2882215309071553,0.31713868907980935
El Salvador,0.3251875390104387,0.3039202700124462,0.3166806314112417
Lao People's Democratic Republic,0.2831744029617973,0.3658604641313203,0.31624882742960647
Pakistan,0.2508408706318877,0.4142552809220975,0.3162066347479716
"Lesotho, Kingdom of",0.332646718673857,0.2873943278192697,0.3145457623320221
Argentina,0.3289898015195868,0.2923936059574044,0.3143513232947138
Ecuador,0.2692070938524539,0.3787776220288869,0.3130353051230271
"Azerbaijan, Republic of",0.3458576636879815,0.2571027817202852,0.31035571090090297
Chile,0.3137154423940813,0.3034964383275755,0.30962784076747896
Nigeria,0.3008850360256601,0.3184889371454499,0.307926596473576
Cameroon,0.2809630217163113,0.3473959353168684,0.30753618715653414
Gabon,0.3342435416901327,0.26686609077994,0.30729256132605565
Panama,0.3289658478524364,0.2700220720241995,0.3053883375211416
"Moldova, Republic of",0.3088838970368789,0.2975911077995681,0.3043667813419546
Hungary,0.3168656419800499,0.2838851953482513,0.3036734633273305
Montenegro,0.3267770222553735,0.2667974648569541,0.3027851992960057
Mongolia,0.3411344823817792,0.2439916160710107,0.3022773358574718
Haiti,0.295044385702965,0.3125618735664544,0.30205138084836075
"Armenia, Republic of",0.3288474437827566,0.255958889896425,0.299692022228224
Costa Rica,0.2916205115869112,0.3110089407911145,0.29937588326859255
"Yemen, Republic of",0.2793210940034775,0.3281794309412519,0.2988644287785872
Nicaragua,0.3503866164395698,0.2170923775055477,0.29706892086596093
St. Lucia,0.3151742204728567,0.2665903548592637,0.2957406742274195
Jordan,0.3332807339144116,0.2369639348186601,0.294754014276111
"Poland, Republic of",0.3216295442703272,0.2447980609160062,0.2908969509285988
"Eswatini, Kingdom of",0.2847542152694139,0.2982655613595461,0.2901587537054668
Albania,0.3062889542032536,0.2652932441300583,0.28989067017397546
Peru,0.3058952365781729,0.2639508923709832,0.28911749889529703
Bulgaria,0.3166633444094262,0.2419221205092652,0.28676685484936176
Honduras,0.3194349841520918,0.2368123876049697,0.286385945533243
Zimbabwe,0.2867575676769935,0.2822444334320818,0.2849523139790288
Bolivia,0.257413569678515,0.3242228626437799,0.2841372868646209
Colombia,0.2854323900611578,0.2813495844643486,0.28379926782243414
Czech Republic,0.3376576596074096,0.202077995783661,0.2834257940779102
Guatemala,0.318677054119325,0.2181667274925252,0.2784729234686051
"North Macedonia, Republic of",0.2952885865031451,0.250904813321311,0.2775350772304115
Russian Federation,0.3769519979130405,0.1276079891854993,0.277214394422024
"Kazakhstan, Republic of",0.3327189409774375,0.1882489272681857,0.2749309354937368
"Uzbekistan, Republic of",0.3546826173240872,0.1457880293414593,0.271124782131036
Brazil,0.2945977122098861,0.2334870515036251,0.2701534479273817
Ukraine,0.2894821414619282,0.2410818439992791,0.27012202247686856
"Egypt, Arab Republic of",0.2660244794645157,0.2595043070849901,0.2634164105127055
Libya,0.330512314467641,0.1588480717700548,0.2618466173886065
Mexico,0.3060183717701142,0.1917683945809346,0.26031838089444237
Trinidad and Tobago,0.2848063594705994,0.2204723235824268,0.25907274511533035
Iraq,0.2827943094694584,0.2182237937925159,0.2569661031986814
"Belarus, Republic of",0.3459027014242456,0.1206099513479058,0.25578560139370965
Suriname,0.2796757040422963,0.2133476507783791,0.2531444827367294
Tunisia,0.2917128098647876,0.1925034079576859,0.2520290491019469
Algeria,0.3219101508799989,0.1380080076020216,0.24834929356880797
Bosnia and Herzegovina,0.3165776960596979,0.125120047268294,0.23999463654313632
Paraguay,0.309392605720164,0.1300176827396996,0.23764263652797826
Morocco,0.2976965157654812,0.1341680592029745,0.23228513314047852
"Tajikistan, Republic of",0.3362554704589436,0.0736291902246616,0.2312049583652308
"Equatorial Guinea, Republic of",0.2994444417098773,0.0396784944541562,0.19553806280758884
Kyrgyz Republic,0.3166353928622659,0.0,0.18998123571735953
"Venezuela, República Bolivariana de",0.2688525004183056,0.060866067493609,0.18565792724842697
Turkmenistan,0.2629438204503774,0.0432681312996418,0.17507354479008314
